         13555 function calls (13332 primitive calls) in 10.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.550   10.550   10.582   10.582 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    0.134    0.134    0.134    0.134 {built-in method _tkinter.create}
      182    0.036    0.000    0.036    0.000 {method 'call' of '_tkinter.tkapp' objects}
      364    0.002    0.000    0.002    0.000 {method 'getint' of '_tkinter.tkapp' objects}
        6    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
       12    0.001    0.000    0.001    0.000 {built-in method _io.open}
       28    0.001    0.000    0.005    0.000 __init__.py:1623(_substitute)
       72    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       11    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       23    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      130    0.001    0.000    0.001    0.000 encoder.py:278(_iterencode_list)
      308    0.001    0.000    0.002    0.000 __init__.py:1629(getint_event)
       96    0.001    0.000    0.001    0.000 __init__.py:1544(_options)
     1818    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       43    0.001    0.000    0.032    0.001 __init__.py:1963(__call__)
       28    0.000    0.000    0.001    0.000 __init__.py:1570(nametowidget)
       19    0.000    0.000    0.001    0.000 app.py:59(_lighten)
       99    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
       31    0.000    0.000    0.003    0.000 __init__.py:1702(_configure)
      194    0.000    0.000    0.001    0.000 encoder.py:334(_iterencode_dict)
        9    0.000    0.000    0.002    0.000 __init__.py:120(dump)
      158    0.000    0.000    0.001    0.000 __init__.py:106(_cnfmerge)
       11    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        9    0.000    0.000    0.006    0.001 app.py:50(save_json)
     20/9    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        7    0.000    0.000    0.001    0.000 app.py:278(_refresh_tasks)
        1    0.000    0.000    0.000    0.000 enum.py:1707(convert_class)
       50    0.000    0.000    0.000    0.000 enum.py:720(__call__)
        2    0.000    0.000    0.005    0.003 __init__.py:1(<module>)
  781/747    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      200    0.000    0.000    0.002    0.000 encoder.py:414(_iterencode)
       18    0.000    0.000    0.000    0.000 <frozen posixpath>:179(dirname)
       31    0.000    0.000    0.018    0.001 __init__.py:2649(__init__)
     31/3    0.000    0.000    0.004    0.001 __init__.py:2666(destroy)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       28    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      161    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        3    0.000    0.000    0.003    0.001 app.py:259(_add_task)
       31    0.000    0.000    0.000    0.000 __init__.py:2617(_setup)
       11    0.000    0.000    0.001    0.000 <frozen os>:200(makedirs)
       31    0.000    0.000    0.003    0.000 __init__.py:1715(configure)
      123    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        9    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
      191    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       30    0.000    0.000    0.000    0.000 __init__.py:1613(_root)
      127    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
        7    0.000    0.000    0.005    0.001 app.py:171(save_hub)
       22    0.000    0.000    0.000    0.000 __init__.py:1589(_register)
       14    0.000    0.000    0.002    0.000 app.py:86(<lambda>)
       14    0.000    0.000    0.002    0.000 app.py:87(<lambda>)
       39    0.000    0.000    0.000    0.000 types.py:192(__init__)
      598    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     31/9    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       50    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
      448    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     13/1    0.000    0.000   10.746   10.746 {built-in method builtins.exec}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     17/5    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
       19    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
